Clase,PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,CONTENT-URL,DIRECCION,ParsedStreet,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,ParsedPostal,BARRIO,DISTRITO,LATITUD,CoorParsed,LONGITUD,TELEFONO,EMAIL,TIPO,SUBTIPO,SubTipoParseado,FECHA,AUTORES,PDF
museos,4847190,Casa Museo Lope De Vega,'Mi casilla_ mi quietud_ mi g&amp;uuml;ertecillo y estudio'. As#i define su casa F#elix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro hist#orico_ en el Barrio de las Letras_ la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivi#o sus #ultimos 25 años. La recreaci#on de ambientes_ cuyo objetivo es que se respire la presencia de Lope_ evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte_ mobiliario_ enseres y ediciones bibliogr#aficas vinculadas al literato y su tiempo.  Visitas Guiadas: de nartres a domingo_ para todos los p#ublicos. M#as informaci#on en web,De martes a domingo de 10 a 18 horas  Cerrado los lunes_ d#ias 1 y 6 de enero_ 1 de mayo_ 9 de noviembre y 24_ 25 y 31 de diciembre.,NOConocido,Metro: Ant#on Mart#in (l#inea 1).  Bus: M1  Bicimad: Estaci#on 27 (calle Jes#us) / Estaci#on 52 (Plaza de Santa Ana)  Cercan#ias Renfe: Sol (l#ineas C3 y C4),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CALLE CERVANTES,CalleCervantesNum7353,11,MADRID,MADRID,28014,28014N29110,CORTES,CENTRO,40.414358466555235,414358466555235N253,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,4949641,Casita - Museo Del Rat#on P#erez,La residencia de la familia P#erez est#a situada en los s#otanos de la confiter#ia Prasi_ en el n#umero ocho de la calle del Arenal_ seg#un cita Luis Coloma.,Reserva y compra de entradas: de martes a s#abado (excepto festivos)_ de 11 a 14 y de 17 a 20 horas.   Visitas: de martes a viernes_ de 11 a 14 y de 17 a 20 horas. S#abados_ de 11 a 20 horas. Domingos_ de 11 a 18 horas.,NOConocido,Metro: Sol (l#ineas: 1_ 2 y 3)_ Ópera (l#inea 3_ Ramal Ópera Pr#incipe P#io)_ Callao (l#inea 3_ 5) Bus: 3 Bicimad:   Estaci#on 31 (calle Mayor_ 20) Estaci#on 25 a y b (Plaza Celenque_ 1),Venta de entradas a trav#es de whatsapp 634 297 294 Aforo limitado.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,CALLE ARENAL,CalleArenalNum46040,8,MADRID,MADRID,28013,28013N70330,SOL,CENTRO,40.41704834412296,41704834412296N4353,-3.7055288844865233,915 226 968,info@casamuseoratonperez.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,5682031,Castillo De La Alameda,El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo #el y su entorno_ existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.,Abierto solo en fin de semana (s#abado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero_ 1 de mayo_ 24_ 25 y 31 de diciembre.,NOConocido,Metro: Alameda de Osuna y El Capricho (l#inea 5). Bus: 101_ 105_ 112_ 114_ 115 y 151.,Accesibilidad   Rampas de acceso. Aseos adaptados para personas con movilidad reducida. Informaci#on en Braille para personas con discapacidad visual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,CALLE ANTONIO SANCHA,CalleAntonioSanchaNum33765,1,MADRID,MADRID,28042,28042N8408,ALAMEDA DE OSUNA,BARAJAS,40.45835460563491,45835460563491N5100,-3.5932903820278788,913 667 415,castilloalameda@madrid.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,2064,Cas#on Del Buen Retiro. Museo Nacional Del Prado_ Centro De Estudios,Edificio que forma parte del Museo Nacional del Prado_ donde pueden consultarse fondos de la Biblioteca_ del Archivo y del Servicio de Documentaci#on de la colecci#on del Museo y de otras fuentes relativas a la historia del arte.,NOConocido,NOConocido,Metro: Estaci#on del Arte (Atocha) (l#inea 1)  Bus: 19  Renfe: Atocha  Bicimad: Estaci#on 65 (calle Antonio Maura_ 15)  Parking: Montalb#an (49)_ C/ Montalb#an (entre C/ Alfonso XI y P&amp;ordm; Prado),Descripci#on monumental  El Cas#on o Sal#on de Baile es el #unico volumen que permanece del antiguo Palacio del buen Retiro_ ejecutado en 1637 con un proyecto de Alonso Carbonel. A#un se conserva la b#oveda de cañon con lunetas_ pintada al fresco por Lucas Jord#an en 1692 con la Alegor#ia del Tois#on de Oro. Su fachada principal_ a poniente_ arrasada la primitiva en 1886 por un cicl#on_ es de Vel#azquez Bosco. La #ultima rehabilitaci#on ha sido realizada por Jaime Torruell.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE ALFONSO XII,CalleAlfonsoXiiNum38566,28,MADRID,MADRID,28014,28014N21560,LOS JERONIMOS,RETIRO,40.415263749471535,415263749471535N1995,-3.689232811717636,NOConocido,biblioteca@museodelprado.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,2069,Centro Cultural La Corrala. Museo De Artes Y Tradiciones Populares,NOConocido,Lunes a viernes de 12 a 20 horas. S#abados de 10 a 14 horas. Cerrado domingos_ festivos y mes de agosto_ 24 y 31 diciembre.,Reserva previa y obligatoria para grupos en el tel#efono del Museo o en visitas.atp@uam.es. Las visitas individuales (inferiores a 7 personas) no necesitan reserva previa.,Metro: La Latina (l#inea 5)  Bus: 17_ 18_ 23_ 35_ 60.  Bicimad: Estaci#on 44 (calle Mes#on de Paredes_ 35).,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE CARLOS ARNICHES,CalleCarlosArnichesNum95688,3,MADRID,MADRID,28005,28005N78781,EMBAJADORES,CENTRO,40.40882397197274,40882397197274N9457,-3.708330456274069,914 976 500,museoatp@uam.es / lacorrala@uam.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,103331,Centro Social Y Cultural La Casa Encendida,Edificio de car#acter monumental. De estilo neomud#ejar_ fue diseñado por el arquitecto Fernando Arb#os e inaugurado en el año 1913. Cuenta con m#as de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.,De martes a domingo de 10 a 22 horas. Cierre de salas de exposiciones 21:45 horas.  M#as horarios en la pestaña 'Servicios'.,Biblioteca:  de martes a domingos de 10 a 14 y de 16:30 a 21 horas. El servicio de mediateca los fines de semana es de 10 a 14 y de 17 a 21 horas.   Mediateca: de martes a domingo mañanas de 10 a 11:45 y de 12:15 a 14_ tardes de17 a 18:45 y de 19:15 a 21 horas.  Espacio para el Voluntariado: de martes a jueves de 16 a 20_ viernes de 10 a 14 horas.  Ecotienda solidaria:  De martes a jueves de 11 a 15 y de 17 a 21 horas. Viernes y s#abados de 10 a 15 y de 17 a 22 horas. Domingos de 10 a 14 y de 17 a 21 horas.    Cafeter#ia: de martes a domingo de 10 a 19:30 horas.,Metro: Embajadores (l#inea 3).  Bus: 119_ 27_ 34_ 36_ 41_ C03_ C2_ C1.  Cercan#ias Renfe: Embajadores (l#inea C5).  Bicimad: Estaci#on 49 (ronda de Atocha_ 34).  Aparcamiento: Garaje Amparo (75)_ calle Amparo.,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,RONDA VALENCIA,RondaValenciaNum18301,2,MADRID,MADRID,28012,28012N3896,EMBAJADORES,CENTRO,40.40595710517701,40595710517701N5054,-3.699779793558763,915 062 180,NOConocido,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,6469186,Ermita De San Antonio De La Florida (museo),Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas_ en 1929 se traslad#o el culto a una ermita gemela construida a su lado_ dejando el edificio original como museo.,General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos)_ 1 y 6 de enero_ 1 de mayo_ 24_ 25 y 31 de diciembre.  Último pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzar#a 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.,Tienda_ en la que se pueden adquirir las gu#ias y publicaciones sobre la ermita editadas por el Museo y otros organismos p#ublicos_ as#i como cat#alogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid.,Metro: Pr#incipe P#io (l#ineas 5_ 10 y ramal Ópera - Pr#incipe P#io)  Bus: 41_ 46 y 75 (Intercambiador Pr#incipe P#io)  Renfe: Pr#incipe P#io  BICIMAD: Estaci#on 161 (Paseo de la Florida 8),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,GLORIETA SAN ANTONIO DE LA FLORIDA,GlorietaSanAntonioDeLaFloridaNum83130,5,MADRID,MADRID,28008,28008N28671,CASA DE CAMPO,MONCLOA-ARAVACA,40.425256682855846,425256682855846N9390,-3.725725718176111,915 420 722,sanantonio@madrid.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,58353,Espacio Fundaci#on Telef#onica,NOConocido,De martes a domingo_ de 10 a 20 horas. Cerrado al p#ublico todos los lunes y d#ias 25 de diciembre_ 1 y 6 de enero.,Reserva de entrada online   Visitas guiadas y talleres educativos: 91 522 66 45 actividades.espacio@fundaciontelefonica.com   Informaci#on general: 91 580 87 00 espacio@fundaciontelefonica.com,Metro: Gran V#ia (l#ineas 1_ 5)  Bus: 002_ 001_ 1_ 2_ 46_ 74_ 146  Bicimad: Estaci#on 211 (Desengaño_ 1) / Estaci#on 210 (Tres Cruces_ 7)  Parking: BARCO 1 (88)_ Calle Barco,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,CALLE FUENCARRAL,CalleFuencarralNum70101,3,MADRID,MADRID,28004,28004N43965,UNIVERSIDAD,CENTRO,40.42041458612889,42041458612889N8425,-3.7016034186955076,915 808 700,espacio@fundaciontelefonica.com,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,6017808,Fundaci#on Amyc (arte Moderno Y Contempor#aneo). Casa Museo Fuente Del Rey,NOConocido,Martes a s#abado_ de 10 a 19 horas. Lunes_ domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con gu#ia propio o con gu#ia de la Fundaci#on_ y la duraci#on de la misma es de una hora_ previa reserva telef#onica o por email.,NOConocido,Bus: 161,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,CALLE FUENTE DEL REY,CalleFuenteDelReyNum55738,11,MADRID,MADRID,28023,28023N13146,ARAVACA,MONCLOA-ARAVACA,40.45546180290319,45546180290319N227,-3.7705836264842576,913 579 116,info@fundacionamyc.org,FundacionesCulturales,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
museos,5873478,Museo Abc,Centro de arte_ dibujo e ilustraci#on.,Consultar.,NOConocido,Metro: San Bernardo (l#ineas 2_ 4)_ Noviciado (l#inea 2)_ Ventura Rodr#iguez (l#inea 3)_ Plaza de España (l#ineas 3_ 10)  Bus: M2_ C1_ C3_ 1_ 2_ 3_ 21_ 44_ 133_ 147_ 001_ 002   Bicimad: Estaci#on 13 (calle Conde Duque 22),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,CALLE AMANIEL,CalleAmanielNum86185,29,MADRID,MADRID,28015,28015N32254,UNIVERSIDAD,CENTRO,40.42741121610518,42741121610518N3297,-3.709539260414957,917 588 379,info_museo@abc.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
