Clase,same_as_clase,PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,CONTENT-URL,DIRECCION,ParsedStreet,NUM,LOCALIDAD,same_as_localidad,PROVINCIA,same_as_provincia,CODIGO-POSTAL,ParsedPostal,BARRIO,same_as_barrio,DISTRITO,same_as_distrito,LATITUD,CoorParsed,LONGITUD,TELEFONO,EMAIL,TIPO,SUBTIPO,SubTipoParseado,FECHA,AUTORES,PDF
Spanish Museum,https://wikidata.org/entity/Q55188818,4847190,Casa Museo Lope De Vega,'Mi casilla_ mi quietud_ mi g&amp;uuml;ertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico_ en el Barrio de las Letras_ la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes_ cuyo objetivo es que se respire la presencia de Lope_ evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte_ mobiliario_ enseres y ediciones bibliográficas vinculadas al literato y su tiempo.  Visitas Guiadas: de nartres a domingo_ para todos los públicos. Más información en web,De martes a domingo de 10 a 18 horas  Cerrado los lunes_ días 1 y 6 de enero_ 1 de mayo_ 9 de noviembre y 24_ 25 y 31 de diciembre.,NOConocido,Metro: Antón Martín (línea 1).  Bus: M1  Bicimad: Estación 27 (calle Jesús) / Estación 52 (Plaza de Santa Ana)  Cercanías Renfe: Sol (líneas C3 y C4),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CALLE CERVANTES,CalleCervantesNum7353,11,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28014,28014N29110,Cortes,https://wikidata.org/entity/Q2535637,Centro,https://wikidata.org/entity/Q1763376,40.414358466555235,414358466555235N253,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,4949641,Casita - Museo Del Ratón Pérez,La residencia de la familia Pérez está situada en los sótanos de la confitería Prasi_ en el número ocho de la calle del Arenal_ según cita Luis Coloma.,Reserva y compra de entradas: de martes a sábado (excepto festivos)_ de 11 a 14 y de 17 a 20 horas.   Visitas: de martes a viernes_ de 11 a 14 y de 17 a 20 horas. Sábados_ de 11 a 20 horas. Domingos_ de 11 a 18 horas.,NOConocido,Metro: Sol (líneas: 1_ 2 y 3)_ Ópera (línea 3_ Ramal Ópera Príncipe Pío)_ Callao (línea 3_ 5) Bus: 3 Bicimad:   Estación 31 (calle Mayor_ 20) Estación 25 a y b (Plaza Celenque_ 1),Venta de entradas a través de whatsapp 634 297 294 Aforo limitado.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,CALLE ARENAL,CalleArenalNum46040,8,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28013,28013N70330,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,40.41704834412296,41704834412296N4353,-3.7055288844865233,915 226 968,info@casamuseoratonperez.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,5682031,Castillo De La Alameda,El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno_ existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.,Abierto solo en fin de semana (sábado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero_ 1 de mayo_ 24_ 25 y 31 de diciembre.,NOConocido,Metro: Alameda de Osuna y El Capricho (línea 5). Bus: 101_ 105_ 112_ 114_ 115 y 151.,Accesibilidad   Rampas de acceso. Aseos adaptados para personas con movilidad reducida. Información en Braille para personas con discapacidad visual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,CALLE ANTONIO SANCHA,CalleAntonioSanchaNum33765,1,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28042,28042N8408,Alameda-de-osuna,https://wikidata.org/entity/Q760737,Barajas,https://wikidata.org/entity/Q807230,40.45835460563491,45835460563491N5100,-3.5932903820278788,913 667 415,castilloalameda@madrid.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,2064,Casón Del Buen Retiro. Museo Nacional Del Prado_ Centro De Estudios,Edificio que forma parte del Museo Nacional del Prado_ donde pueden consultarse fondos de la Biblioteca_ del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.,NOConocido,NOConocido,Metro: Estación del Arte (Atocha) (línea 1)  Bus: 19  Renfe: Atocha  Bicimad: Estación 65 (calle Antonio Maura_ 15)  Parking: Montalbán (49)_ C/ Montalbán (entre C/ Alfonso XI y P&amp;ordm; Prado),Descripción monumental  El Casón o Salón de Baile es el único volumen que permanece del antiguo Palacio del buen Retiro_ ejecutado en 1637 con un proyecto de Alonso Carbonel. Aún se conserva la bóveda de cañon con lunetas_ pintada al fresco por Lucas Jordán en 1692 con la Alegoría del Toisón de Oro. Su fachada principal_ a poniente_ arrasada la primitiva en 1886 por un ciclón_ es de Velázquez Bosco. La última rehabilitación ha sido realizada por Jaime Torruell.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE ALFONSO XII,CalleAlfonsoXiiNum38566,28,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28014,28014N21560,Jerónimos,https://wikidata.org/entity/Q10306766,Retiro,https://wikidata.org/entity/Q2002296,40.415263749471535,415263749471535N1995,-3.689232811717636,NOConocido,biblioteca@museodelprado.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,2069,Centro Cultural La Corrala. Museo De Artes Y Tradiciones Populares,NOConocido,Lunes a viernes de 12 a 20 horas. Sábados de 10 a 14 horas. Cerrado domingos_ festivos y mes de agosto_ 24 y 31 diciembre.,Reserva previa y obligatoria para grupos en el teléfono del Museo o en visitas.atp@uam.es. Las visitas individuales (inferiores a 7 personas) no necesitan reserva previa.,Metro: La Latina (línea 5)  Bus: 17_ 18_ 23_ 35_ 60.  Bicimad: Estación 44 (calle Mesón de Paredes_ 35).,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE CARLOS ARNICHES,CalleCarlosArnichesNum95688,3,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28005,28005N78781,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,40.40882397197274,40882397197274N9457,-3.708330456274069,914 976 500,museoatp@uam.es / lacorrala@uam.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,103331,Centro Social Y Cultural La Casa Encendida,Edificio de carácter monumental. De estilo neomudéjar_ fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.,De martes a domingo de 10 a 22 horas. Cierre de salas de exposiciones 21:45 horas.  Más horarios en la pestaña 'Servicios'.,Biblioteca:  de martes a domingos de 10 a 14 y de 16:30 a 21 horas. El servicio de mediateca los fines de semana es de 10 a 14 y de 17 a 21 horas.   Mediateca: de martes a domingo mañanas de 10 a 11:45 y de 12:15 a 14_ tardes de17 a 18:45 y de 19:15 a 21 horas.  Espacio para el Voluntariado: de martes a jueves de 16 a 20_ viernes de 10 a 14 horas.  Ecotienda solidaria:  De martes a jueves de 11 a 15 y de 17 a 21 horas. Viernes y sábados de 10 a 15 y de 17 a 22 horas. Domingos de 10 a 14 y de 17 a 21 horas.    Cafetería: de martes a domingo de 10 a 19:30 horas.,Metro: Embajadores (línea 3).  Bus: 119_ 27_ 34_ 36_ 41_ C03_ C2_ C1.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 49 (ronda de Atocha_ 34).  Aparcamiento: Garaje Amparo (75)_ calle Amparo.,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,RONDA VALENCIA,RondaValenciaNum18301,2,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28012,28012N3896,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,40.40595710517701,40595710517701N5054,-3.699779793558763,915 062 180,NOConocido,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,6469186,Ermita De San Antonio De La Florida (museo),Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas_ en 1929 se trasladó el culto a una ermita gemela construida a su lado_ dejando el edificio original como museo.,General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos)_ 1 y 6 de enero_ 1 de mayo_ 24_ 25 y 31 de diciembre.  Último pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.,Tienda_ en la que se pueden adquirir las guías y publicaciones sobre la ermita editadas por el Museo y otros organismos públicos_ así como catálogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid.,Metro: Príncipe Pío (líneas 5_ 10 y ramal Ópera - Príncipe Pío)  Bus: 41_ 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío  BICIMAD: Estación 161 (Paseo de la Florida 8),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,GLORIETA SAN ANTONIO DE LA FLORIDA,GlorietaSanAntonioDeLaFloridaNum83130,5,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28008,28008N28671,Casa-de-campo,https://wikidata.org/entity/Q16302441,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.425256682855846,425256682855846N9390,-3.725725718176111,915 420 722,sanantonio@madrid.es,MonumentosEdificiosArtisticos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,58353,Espacio Fundación Telefónica,NOConocido,De martes a domingo_ de 10 a 20 horas. Cerrado al público todos los lunes y días 25 de diciembre_ 1 y 6 de enero.,Reserva de entrada online   Visitas guiadas y talleres educativos: 91 522 66 45 actividades.espacio@fundaciontelefonica.com   Información general: 91 580 87 00 espacio@fundaciontelefonica.com,Metro: Gran Vía (líneas 1_ 5)  Bus: 002_ 001_ 1_ 2_ 46_ 74_ 146  Bicimad: Estación 211 (Desengaño_ 1) / Estación 210 (Tres Cruces_ 7)  Parking: BARCO 1 (88)_ Calle Barco,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,CALLE FUENCARRAL,CalleFuencarralNum70101,3,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28004,28004N43965,Universidad,https://wikidata.org/entity/Q10387767,Centro,https://wikidata.org/entity/Q1763376,40.42041458612889,42041458612889N8425,-3.7016034186955076,915 808 700,espacio@fundaciontelefonica.com,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,6017808,Fundación Amyc (arte Moderno Y Contemporáneo). Casa Museo Fuente Del Rey,NOConocido,Martes a sábado_ de 10 a 19 horas. Lunes_ domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guía propio o con guía de la Fundación_ y la duración de la misma es de una hora_ previa reserva telefónica o por email.,NOConocido,Bus: 161,NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,CALLE FUENTE DEL REY,CalleFuenteDelReyNum55738,11,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28023,28023N13146,Aravaca,https://wikidata.org/entity/Q3314682,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.45546180290319,45546180290319N227,-3.7705836264842576,913 579 116,info@fundacionamyc.org,FundacionesCulturales,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
Spanish Museum,https://wikidata.org/entity/Q55188818,5873478,Museo Abc,Centro de arte_ dibujo e ilustración.,Consultar.,NOConocido,Metro: San Bernardo (líneas 2_ 4)_ Noviciado (línea 2)_ Ventura Rodríguez (línea 3)_ Plaza de España (líneas 3_ 10)  Bus: M2_ C1_ C3_ 1_ 2_ 3_ 21_ 44_ 133_ 147_ 001_ 002   Bicimad: Estación 13 (calle Conde Duque 22),NOConocido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,CALLE AMANIEL,CalleAmanielNum86185,29,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28015,28015N32254,Universidad,https://wikidata.org/entity/Q10387767,Centro,https://wikidata.org/entity/Q1763376,40.42741121610518,42741121610518N3297,-3.709539260414957,917 588 379,info_museo@abc.es,Museos,NoIdentificado,Noidentificado,NOConocido,NOConocido,NOConocido
