PK,NOMBRE,SAME_AS_NOMBRE,DESCRIPCION-ENTIDAD,HORARIO-APERTURA,HORARIO-CIERRE,FESTIVOS,EQUIPAMIENTO,METRO,BUS,RENFE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,CODIGO-POSTAL,BARRIO,SAME_AS_BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL
7902770,Biblioteca Metro,,"El Bibliometro es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros en el Metro de Madrid. Promovido conjuntamente por el Ayuntamiento de Madrid y la Comunidad de Madrid en colaboración con Metro; el Bibliometro es el primer servicio común a los dos sistemas de Bibliotecas Públicas del Ayuntamiento de Madrid y la Comunidad de Madrid. El servicio gestionado por el Ayuntamiento de Madrid se centraliza en la Unidad Técnica de Bibliotecas Públicas; localizada en la calle Príncipe de Vergara; 140. El servicio de Bibliored es similar; pero en superficie.",13:30:00,20:00:00,,Datos de localización de los distintos módulos de Bibliometro. Servicios: Préstamo y renovación de libros. Acceda al catálogo de Bibliometro para búsqueda de libros y renovar sus préstamos.,,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d2cd4bdf66bb410VgnVCM1000000b205a0aRCRD,calle del Príncipe de Vergara,CALLE,140,MADRID,28002,Ciudad Jardín,https://wikidata.org/entity/Q3773744,Chamartín,4.044.444.653.179.130,-367.813.993.012.987,91 588 57 24,,bib.metro@madrid.org
25526,Biblioteca Pública Latina - Antonio Mingote,https://wikidata.org/entity/Q85697873,,09:00:00,21:00:00,"Días de cierre: Sábados: 2 enero; 20 marzo; 3  abril; 16 de mayo; todos los sábados de julio; agosto y septiembre. Domingos: todos. Festivos:1 y 6 enero; 1 y 2 abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 noviembre; 6; 8; 24; 25 y 31 diciembre",Wifi gratuito,,"17; 138",fanjul (línea c5),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c73e995a8bf5d010VgnVCM2000000c205a0aRCRD,"Calle de Rafael Finat; Madrid",CALLE,51,MADRID,28044,Las Águilas,https://wikidata.org/entity/Q5971372,Latina,4.037.944.226.151.660,-3.769.445.829.090.450,915 093 625,917 068 193,bib.latina@madrid.org
1774,Biblioteca Pública Retiro - Elena Fortún,https://wikidata.org/entity/Q85697975,,09:00:00,21:00:00,"Días de cierre: Sábados: 2 enero; 20 marzo; 3  abril; 16 de mayo; todos los sábados de julio; agosto y septiembre. Domingos: todos. Festivos:1 y 6 enero; 1 y 2 abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 noviembre; 6; 8; 24; 25 y 31 diciembre",Wifi gratuito,"Pacífico (líneas 1; 6); Conde de Casal (línea 6)","56; 156; 10",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44213d0b5e71c010VgnVCM1000000b205a0aRCRD,"Calle del Doctor Esquerdo; Madrid",CALLE,189,MADRID,28007,Adelfas,https://wikidata.org/entity/Q3774001,Retiro,4.040.356.992.125.350,-3.672.414.651.864.730,915 019 146,915 018 130,bib.retiro@madrid.org
1770,Biblioteca Pública Hortaleza,https://wikidata.org/entity/Q85697866,,09:00:00,20:30:00,"Días de cierre: Fines de semana y festivos; del 1 al 10 de enero; 19 y 22 de febrero; 19 de marzo; del 26 de marzo al 5 de abril; 3 de mayo; los meses de julio y agosto; del 22 al 31 de diciembre.",,Parque de Santa María (línea 4),"9; 107",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e42e995a8bf5d010VgnVCM2000000c205a0aRCRD,ABERTURA,CALLE,2,MADRID,28033,Pinar del Rey,https://wikidata.org/entity/Q10349788,Hortaleza,4.047.723.185.032.390,-36.496.247.031.818.500,917 633 284,917 633 284,bib.hortaleza@madrid.org
1771,Biblioteca Pública José Acuña,,,09:00:00,21:00:00,"Días de cierre: Sábados: 11 de abril; 16 de mayo; todos los sábados de julio; agosto y septiembre; 26 de diciembre. Domingos: todos. Festivos: 1 y 6 de enero; 9 y 10 de abril; 1; 2 y 15 de mayo; 15 de agosto; 12 de octubre; 2 y  9 de noviembre; 7; 8; 24; 25 y 31 de diciembre.",90 puestos de lectura y 4 para el uso de Internet Wifi gratuito,"Arg&amp;uuml;elles (líneas 3; 4; 6); Ventura Rodriguez (línea 3)","62; 74",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD,QUINTANA,CALLE,9,MADRID,28008,Argüelles,https://wikidata.org/entity/Q64874,Moncloa-Aravaca,40.427.942.010.682.400,-37.169.600.607.379.900,915 413 619,915 426 939,bib.acuna@madrid.org
123303,Biblioteca Pública Municipal - José Hierro,https://wikidata.org/entity/Q85697922,,09:00:00,21:00:00,"Días de cierre: 1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24; 25 y 31 de diciembre.",Wifi gratuito,"Plaza Elíptica (líneas 6; 11)","6; 60; 81",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=943979262ef5d010VgnVCM1000000b205a0aRCRD,RAFAELA YBARRA,AVENIDA,43,MADRID,28026,Pradolongo,https://wikidata.org/entity/Q10352360,Usera,4.038.188.182.427.100,-37.106.164.073.640.200,914 229 501,914 691 901,bib.usera@madrid.org
1764,Biblioteca Pública Chamberí - José Luis Sampedro,https://wikidata.org/entity/Q85697863,,09:00:00,21:00:00,"Días de cierre: Sábados: 2 de enero; 20 de marzo; 3 de abril; todos los sábados de julio; agosto y septiembre. Todos los domingos. Festivos: 1 y 6 de enero; 19 de marzo; 1 y 2 de abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 de noviembre; 6; 8 ; 24; 25 y 31 de diciembre.",Wifi gratuito,"Iglesia (línea 1); Alonso Cano (línea 7); Quevedo (línea 2)","16; 61; 3; 37; 5; 149",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a2279262ef5d010VgnVCM1000000b205a0aRCRD,FELIPE EL HERMOSO,CALLE,4,MADRID,28010,Trafalgar,https://wikidata.org/entity/Q10384027,Chamberí,4.043.539.063.992.490,-36.996.132.452.669.000,914 459 782,914 472 444,bib.chamberi@madrid.org
181101,Biblioteca Pública Villa de Vallecas - Luis Martín Santos,https://wikidata.org/entity/Q85697979,,09:00:00,21:00:00,"Días de cierre: 1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24; 25 y 31 de diciembre.",Wifi gratuito,Villa de Vallecas (línea 1),58,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09ac38d60b41c010VgnVCM2000000c205a0aRCRD,ANTONIO MARIA SEGOVIA,PLAZA,2,MADRID,28031,Santa Eugenia,https://wikidata.org/entity/Q390463,Villa de Vallecas,4.038.091.437.280.580,-3.613.674.447.421.730,912 760 231,,bib.villavallecas@madrid.org
5765642,Biblioteca Pública Luis Rosales,,,09:00:00,21:00:00,"Días de cierre: 1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24; 25 y 31 de diciembre.",Wifi gratuito,Carabanchel Alto (línea 11),"47; 108; 118; 121; 131",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a73f884ad3f9210VgnVCM1000000b205a0aRCRD,ANTONIA RODRIGUEZ SACRISTAN,CALLE,7,MADRID,28044,Puerta Bonita,https://wikidata.org/entity/Q3813762,Carabanchel,40.373.420.234.648.600,-37.480.802.097.487.600,912 760 233,914 613 331,bib.carabanchel@madrid.org
86719,Biblioteca Pública Villaverde - María Moliner,https://wikidata.org/entity/Q85697984,,09:00:00,21:00:00,"Días de cierre (2021): Sábados: 2 de enero; 20 de marzo; 3 de abril; todos los sábados de julio; agosto y septiembre. Domingos: todos. Festivos:1 y 6 de enero; 19 de marzo; 1 y 2 de abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 de noviembre; 6; 8; 24; 25 y 31 de diciembre.",Wifi gratuito,,76,puente alcocer (línea c5),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=127979262ef5d010VgnVCM1000000b205a0aRCRD,VILLALONSO,CALLE,16,MADRID,28021,San andrés,https://wikidata.org/entity/Q390435,Villaverde,4.034.952.409.541.230,-3.710.123.586.489.830,917 230 194,917 979 458,bib.villaverde@madrid.org
