PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
4847190,Casa Museo Lope de Vega,"'Mi casilla, mi quietud, mi g&amp;uuml;ertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo.  Visitas Guiadas: de nartres a domingo, para todos los públicos. Más información en web","De martes a domingo de 10 a 18 horas  Cerrado los lunes, días 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre.",,Metro: Antón Martín (línea 1).  Bus: M1  Bicimad: Estación 27 (calle Jesús) / Estación 52 (Plaza de Santa Ana)  Cercanías Renfe: Sol (líneas C3 y C4),,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CERVANTES,CALLE,V,11,,,,,MADRID,MADRID,28014,CORTES,CENTRO,440825,4473983,40.414358466555235,-3.6974741545860015,914 299 216,,casamuseolopedevega@madrid.org,/contenido/entidadesYorganismos/Museos,
4949641,Casita - Museo del Ratón Pérez,"La residencia de la familia Pérez está situada en los sótanos de la confitería Prasi, en el número ocho de la calle del Arenal, según cita Luis Coloma.","Reserva y compra de entradas: de martes a sábado (excepto festivos), de 11 a 14 y de 17 a 20 horas.   Visitas: de martes a viernes, de 11 a 14 y de 17 a 20 horas. Sábados, de 11 a 20 horas. Domingos, de 11 a 18 horas.",,"Metro: Sol (líneas: 1, 2 y 3), Ópera (línea 3, Ramal Ópera Príncipe Pío), Callao (línea 3, 5) Bus: 3 Bicimad:   Estación 31 (calle Mayor, 20) Estación 25 a y b (Plaza Celenque, 1)",Venta de entradas a través de whatsapp 634 297 294 Aforo limitado.,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,ARENAL,CALLE,V,8,1.ª,,,,MADRID,MADRID,28013,SOL,CENTRO,440144,4474287,40.41704834412296,-3.7055288844865233,915 226 968,,info@casamuseoratonperez.es,/contenido/entidadesYorganismos/Museos,
5682031,Castillo de la Alameda,"El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.","Abierto solo en fin de semana (sábado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.",,"Metro: Alameda de Osuna y El Capricho (línea 5). Bus: 101, 105, 112, 114, 115 y 151.",Accesibilidad   Rampas de acceso. Aseos adaptados para personas con movilidad reducida. Información en Braille para personas con discapacidad visual.,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,ANTONIO SANCHA,CALLE,V,1,,,,,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,449698,4478802,40.45835460563491,-3.5932903820278788,913 667 415,,castilloalameda@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
2064,"Casón del Buen Retiro. Museo Nacional del Prado, Centro de Estudios","Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.",,,"Metro: Estación del Arte (Atocha) (línea 1)  Bus: 19  Renfe: Atocha  Bicimad: Estación 65 (calle Antonio Maura, 15)  Parking: Montalbán (49), C/ Montalbán (entre C/ Alfonso XI y P&amp;ordm; Prado)","Descripción monumental  El Casón o Salón de Baile es el único volumen que permanece del antiguo Palacio del buen Retiro, ejecutado en 1637 con un proyecto de Alonso Carbonel. Aún se conserva la bóveda de cañon con lunetas, pintada al fresco por Lucas Jordán en 1692 con la Alegoría del Toisón de Oro. Su fachada principal, a poniente, arrasada la primitiva en 1886 por un ciclón, es de Velázquez Bosco. La última rehabilitación ha sido realizada por Jaime Torruell.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE,V,28,,,,,MADRID,MADRID,28014,LOS JERONIMOS,RETIRO,441525,4474078,40.415263749471535,-3.689232811717636,,,biblioteca@museodelprado.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
2069,Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,,"Lunes a viernes de 12 a 20 horas. Sábados de 10 a 14 horas. Cerrado domingos, festivos y mes de agosto, 24 y 31 diciembre.",Reserva previa y obligatoria para grupos en el teléfono del Museo o en visitas.atp@uam.es. Las visitas individuales (inferiores a 7 personas) no necesitan reserva previa.,"Metro: La Latina (línea 5)  Bus: 17, 18, 23, 35, 60.  Bicimad: Estación 44 (calle Mesón de Paredes, 35).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,CARLOS ARNICHES,CALLE,V,3,,,,y 5,MADRID,MADRID,28005,EMBAJADORES,CENTRO,439899,4473375,40.40882397197274,-3.708330456274069,914 976 500,,museoatp@uam.es / lacorrala@uam.es,/contenido/entidadesYorganismos/Museos,
103331,Centro Social y Cultural La Casa Encendida,"Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.",De martes a domingo de 10 a 22 horas. Cierre de salas de exposiciones 21:45 horas.  Más horarios en la pestaña 'Servicios'.,"Biblioteca:  de martes a domingos de 10 a 14 y de 16:30 a 21 horas. El servicio de mediateca los fines de semana es de 10 a 14 y de 17 a 21 horas.   Mediateca: de martes a domingo mañanas de 10 a 11:45 y de 12:15 a 14, tardes de17 a 18:45 y de 19:15 a 21 horas.  Espacio para el Voluntariado: de martes a jueves de 16 a 20, viernes de 10 a 14 horas.  Ecotienda solidaria:  De martes a jueves de 11 a 15 y de 17 a 21 horas. Viernes y sábados de 10 a 15 y de 17 a 22 horas. Domingos de 10 a 14 y de 17 a 21 horas.    Cafetería: de martes a domingo de 10 a 19:30 horas.","Metro: Embajadores (línea 3).  Bus: 119, 27, 34, 36, 41, C03, C2, C1.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 49 (ronda de Atocha, 34).  Aparcamiento: Garaje Amparo (75), calle Amparo.",,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,VALENCIA,RONDA,V,2,,,,,MADRID,MADRID,28012,EMBAJADORES,CENTRO,440622,4473051,40.40595710517701,-3.699779793558763,915 062 180,,,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
6469186,Ermita de San Antonio de la Florida (Museo),"Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.","General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos), 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.  Último pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.","Tienda, en la que se pueden adquirir las guías y publicaciones sobre la ermita editadas por el Museo y otros organismos públicos, así como catálogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid.","Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío)  Bus: 41, 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío  BICIMAD: Estación 161 (Paseo de la Florida 8)",,"2,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,SAN ANTONIO DE LA FLORIDA,GLORIETA,V,5,,,,,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,438439,4475212,40.425256682855846,-3.725725718176111,915 420 722 o 683 429 760,,sanantonio@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
58353,Espacio Fundación Telefónica,,"De martes a domingo, de 10 a 20 horas. Cerrado al público todos los lunes y días 25 de diciembre, 1 y 6 de enero.",Reserva de entrada online   Visitas guiadas y talleres educativos: 91 522 66 45 actividades.espacio@fundaciontelefonica.com   Información general: 91 580 87 00 espacio@fundaciontelefonica.com,"Metro: Gran Vía (líneas 1, 5)  Bus: 002, 001, 1, 2, 46, 74, 146  Bicimad: Estación 211 (Desengaño, 1) / Estación 210 (Tres Cruces, 7)  Parking: BARCO 1 (88), Calle Barco",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,FUENCARRAL,CALLE,V,3,,,,,MADRID,MADRID,28004,UNIVERSIDAD,CENTRO,440480,4474658,40.42041458612889,-3.7016034186955076,915 808 700 (información general) / 915 226 645 (visitas guiadas y talleres),,espacio@fundaciontelefonica.com,/contenido/entidadesYorganismos/Museos,
6017808,Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,,"Martes a sábado, de 10 a 19 horas. Lunes, domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guía propio o con guía de la Fundación, y la duración de la misma es de una hora, previa reserva telefónica o por email.",,Bus: 161,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,FUENTE DEL REY,CALLE,V,11,,,,,MADRID,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,434663,4478596,40.45546180290319,-3.7705836264842576,913 579 116,,info@fundacionamyc.org,/contenido/entidadesYorganismos/FundacionesCulturales,
5873478,Museo ABC,"Centro de arte, dibujo e ilustración.",Consultar.,,"Metro: San Bernardo (líneas 2, 4), Noviciado (línea 2), Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)  Bus: M2, C1, C3, 1, 2, 3, 21, 44, 133, 147, 001, 002   Bicimad: Estación 13 (calle Conde Duque 22)",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,AMANIEL,CALLE,V,29,,,,-31,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,439813,4475439,40.42741121610518,-3.709539260414957,917 588 379,,info_museo@abc.es,/contenido/entidadesYorganismos/Museos,
