PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,parking,cercanias,bicimad,bus,metro,ACCESIBILIDAD,CONTENT-URL,DIRECCION,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
4847190,Casa Museo Lope de Vega,'Mi casilla  mi quietud  mi g&amp;uuml;ertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico  en el Barrio de las Letras  la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes  cuyo objetivo es que se respire la presencia de Lope  evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte  mobiliario  enseres y ediciones bibliográficas vinculadas al literato y su tiempo.  Visitas Guiadas: de nartres a domingo  para todos los públicos. Más información en web,De martes a domingo de 10 a 18 horas  Cerrado los lunes; días 1 y 6 de enero; 1 de mayo; 9 de noviembre y 24; 25 y 31 de diciembre.,NULL,Sol (líneas C3 y C4),Estación 27 (calle Jesús) / Estación 52 (Plaza de Santa Ana)  ,M1  ,Antón Martín (línea 1),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CALLE CERVANTES 11 28014 MADRID,CORTES,CENTRO,440825,4473983,40.414358466555235,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org,Museos
4949641,Casita - Museo del Ratón Pérez,La residencia de la familia Pérez está situada en los sótanos de la confitería Prasi  en el número ocho de la calle del Arenal  según cita Luis Coloma.Venta de entradas a través de whatsapp 634 297 294 Aforo limitado.,Reserva y compra de entradas: de martes a sábado (excepto festivos); de 11 a 14 y de 17 a 20 horas.   Visitas: de martes a viernes; de 11 a 14 y de 17 a 20 horas. Sábados; de 11 a 20 horas. Domingos; de 11 a 18 horas.,NULL,NULL,Estación 31 (calle Mayor 20) Estación 25 a y b (Plaza Celenque 1),3 ,Sol (líneas: 1; 2 y 3) Ópera (línea 3; Ramal Ópera Príncipe Pío) Callao (línea 3; 5) ,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,CALLE ARENAL 8 28013 MADRID,SOL,CENTRO,440144,4474287,40.41704834412296,-3.7055288844865233,915 226 968,info@casamuseoratonperez.es,Museos
5682031,Castillo de la Alameda,El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno  existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.Accesibilidad   Rampas de acceso. Aseos adaptados para personas con movilidad reducida. Información en Braille para personas con discapacidad visual.,Abierto solo en fin de semana (sábado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre.,NULL,NULL,NULL,101; 105; 112; 114; 115 y 151,Alameda de Osuna y El Capricho (línea 5),1.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,CALLE ANTONIO SANCHA 1 28042 MADRID,ALAMEDA DE OSUNA,BARAJAS,449698,4478802,40.45835460563491,-3.5932903820278788,913 667 415,castilloalameda@madrid.es,MonumentosEdificiosArtisticos
2064,Casón del Buen Retiro. Museo Nacional del Prado: Centro de Estudios,Edificio que forma parte del Museo Nacional del Prado  donde pueden consultarse fondos de la Biblioteca  del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.Descripción monumental  El Casón o Salón de Baile es el único volumen que permanece del antiguo Palacio del buen Retiro  ejecutado en 1637 con un proyecto de Alonso Carbonel. Aún se conserva la bóveda de cañon con lunetas  pintada al fresco por Lucas Jordán en 1692 con la Alegoría del Toisón de Oro. Su fachada principal  a poniente  arrasada la primitiva en 1886 por un ciclón  es de Velázquez Bosco. La última rehabilitación ha sido realizada por Jaime Torruell.,NULL,Montalbán (49) en C/ Montalbán (entre C/ Alfonso XI y P&amp;ordm; Prado),Atocha  ,Estación 65 (calle Antonio Maura 15)  ,19  ,Estación del Arte (Atocha) (línea 1)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE ALFONSO XII 28 28014 MADRID,LOS JERONIMOS,RETIRO,441525,4474078,40.415263749471535,-3.689232811717636,NULL,biblioteca@museodelprado.es,MonumentosEdificiosArtisticos
2069,Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,NULL,Lunes a viernes de 12 a 20 horas. Sábados de 10 a 14 horas. Cerrado domingos; festivos y mes de agosto; 24 y 31 diciembre.,NULL,NULL,Estación 44 (calle Mesón de Paredes 35),17; 18; 23; 35; 60,La Latina (línea 5)  ,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE CARLOS ARNICHES 3 28005 MADRID,EMBAJADORES,CENTRO,439899,4473375,40.40882397197274,-3.708330456274069,914 976 500,museoatp@uam.es / lacorrala@uam.es,Museos
103331,Centro Social y Cultural La Casa Encendida,Edificio de carácter monumental. De estilo neomudéjar  fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.,De martes a domingo de 10 a 22 horas. Cierre de salas de exposiciones 21:45 horas.  Más horarios en la pestaña 'Servicios'.,Garaje Amparo (75) en calle Amparo,Embajadores (línea C5),Estación 49 (ronda de Atocha 34),119; 27; 34; 36; 41; C03; C2; C1,Embajadores (línea 3),1.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,RONDA VALENCIA 2 28012 MADRID,EMBAJADORES,CENTRO,440622,4473051,40.40595710517701,-3.699779793558763,915 062 180,NULL,MonumentosEdificiosArtisticos
6469186,Ermita de San Antonio de la Florida (Museo),Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas  en 1929 se trasladó el culto a una ermita gemela construida a su lado  dejando el edificio original como museo.,General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos); 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre.  Último pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.,NULL,Príncipe Pío  ,Estación 161 (Paseo de la Florida 8),41; 46 y 75 (Intercambiador Príncipe Pío)  ,Príncipe Pío (líneas 5; 10 y ramal Ópera - Príncipe Pío)  ,2.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,GLORIETA SAN ANTONIO DE LA FLORIDA 5 28008 MADRID,CASA DE CAMPO,MONCLOA-ARAVACA,438439,4475212,40.425256682855846,-3.725725718176111,915 420 722 o 683 429 760,sanantonio@madrid.es,MonumentosEdificiosArtisticos
58353,Espacio Fundación Telefónica,NULL,De martes a domingo; de 10 a 20 horas. Cerrado al público todos los lunes y días 25 de diciembre; 1 y 6 de enero.,BARCO 1 (88) en Calle Barco,NULL,Estación 211 (Desengaño 1) / Estación 210 (Tres Cruces 7)  ,002; 001; 1; 2; 46; 74; 146  ,Gran Vía (líneas 1; 5)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,CALLE FUENCARRAL 3 28004 MADRID,UNIVERSIDAD,CENTRO,440480,4474658,40.42041458612889,-3.7016034186955076,915 808 700 (información general) / 915 226 645 (visitas guiadas y talleres),espacio@fundaciontelefonica.com,Museos
6017808,Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,NULL,Martes a sábado; de 10 a 19 horas. Lunes; domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guía propio o con guía de la Fundación; y la duración de la misma es de una hora; previa reserva telefónica o por email.,NULL,NULL,NULL,161,NULL,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,CALLE FUENTE DEL REY 11 28023 MADRID,ARAVACA,MONCLOA-ARAVACA,434663,4478596,40.45546180290319,-3.7705836264842576,913 579 116,info@fundacionamyc.org,FundacionesCulturales
5873478,Museo ABC,Centro de arte  dibujo e ilustración.,Consultar.,NULL,NULL,Estación 13 (calle Conde Duque 22),M2; C1; C3; 1; 2; 3; 21; 44; 133; 147; 001; 002   ,San Bernardo (líneas 2; 4) Noviciado (línea 2) Ventura Rodríguez (línea 3) Plaza de España (líneas 3; 10)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,CALLE AMANIEL 29 28015 MADRID,UNIVERSIDAD,CENTRO,439813,4475439,40.42741121610518,-3.709539260414957,917 588 379,info_museo@abc.es,Museos
